idda,min,ave
1,6593.04715,8929.03488
2,7038.83651,9116.92796
3,6278.46248,8019.00257
4,6333.76413,8062.33665
5,6391.45558,8126.11576
6,6459.93847,8219.94134
7,6550.82678,8341.32529
8,6655.70228,8476.55053
9,6746.36314,8624.73366
10,6851.00457,8784.00531
11,6953.7892,8952.49964
12,6276.54507,8049.65134
13,6319.06871,8118.15961
14,6369.94933,8206.11477
15,6434.07504,8308.51848
16,6510.38843,8430.93273
17,6593.1709,8569.23684
18,6693.59587,8723.40667
19,6808.2963,8886.21144
20,6251.29978,7998.95356
21,6248.66441,8008.76641
22,6046.50576,7723.57527
23,6704.26905,8745.40172
24,6581.47841,8564.31448
25,6467.86028,8391.67872
26,6368.67277,8230.44824
27,6277.08525,8091.10987
28,6204.75851,7972.53356
29,6136.7281,7872.32426
30,6088.53189,7792.89472
31,6858.6319,8793.84172
32,6739.59748,8606.80212
33,6622.10133,8424.1172
34,6513.33457,8255.66372
35,6412.16224,8106.66609
36,6312.81006,7973.10679
37,6217.59544,7865.20391
38,6146.9992,7793.61353
39,6076.30368,7743.8467
40,6958.86872,8977.81283
41,6058.27057,7740.10916
42,6886.22498,8844.92361
43,5919.10926,7485.34142
44,5983.93362,7538.77527
45,6077.23054,7618.68165
46,6188.33392,7735.42517
47,6296.36947,7883.66906
48,6403.20829,8051.48335
49,6521.75189,8236.64571
50,6643.76559,8433.55329
51,6774.38295,8639.93891
52,5942.76569,7551.56082
53,5990.40317,7639.32825
54,6064.58103,7754.06998
55,6153.18684,7890.35426
56,6246.811,8046.0626
57,6361.94675,8224.50627
58,6479.30214,8415.58795
59,6616.75836,8615.98402
60,5886.04997,7468.65487
61,5898.77066,7492.37556
62,5787.50301,7244.27374
63,6544.40421,8495.77483
64,6391.51698,8277.41861
65,6260.706,8069.30662
66,6145.74724,7876.23452
67,6046.83257,7704.73995
68,5951.43843,7551.15937
69,5892.82943,7429.98349
70,5833.54987,7339.47927
71,6697.65353,8494.45089
72,6558.46519,8271.69696
73,6432.10952,8059.51759
74,6314.42684,7857.21499
75,6200.04677,7676.20387
76,6091.88153,7520.22863
77,5971.80755,7394.14159
78,5876.16775,7307.0986
79,5808.38619,7255.58198
80,6821.68164,8719.50792
81,5796.5214,7275.6226
82,6599.89268,8377.63285
83,5935.00924,6695.83947
84,6008.25735,6741.13636
85,6092.32893,6831.08786
86,6094.04069,6968.65529
87,6083.6016,7145.27669
88,6124.8871,7355.53132
89,6202.00842,7591.81224
90,6301.78291,7843.84946
91,6440.92847,8110.99966
92,5878.51424,6804.20856
93,5919.54633,6924.07693
94,5932.56835,7076.20922
95,5964.3293,7256.51432
96,6033.46044,7474.36576
97,6128.01532,7713.24011
98,6256.89762,7967.79621
99,6405.66072,8227.41054
100,5881.84081,6691.90049
101,5764.87156,6804.45454
102,5772.67278,6770.90663
103,6418.00019,8263.73419
104,6270.87103,8007.26907
105,6131.63555,7754.03412
106,6026.28092,7522.43555
107,5945.84638,7309.63415
108,5895.57569,7132.47294
109,5848.07778,6986.35828
110,5789.43092,6875.4082
111,6507.57092,8172.95615
112,6370.10538,7912.30508
113,6261.9765,7665.0039
114,6166.60809,7429.31143
115,6120.1806,7222.71153
116,6079.92562,7048.19161
117,5975.74051,6916.08463
118,5886.42299,6825.67104
119,5817.5537,6776.10556
120,6655.54267,8436.05023
121,5720.6829,6925.25622
122,6710.74562,8512.01433
123,5764.39536,6899.02148
124,5828.69846,6947.46076
125,5920.95798,7037.02504
126,6028.45007,7170.85577
127,6132.70089,7341.97746
128,6211.11415,7541.26372
129,6314.12336,7767.04679
130,6436.84334,8006.21734
131,6560.86329,8255.41896
132,5755.66368,6995.57531
133,5815.39872,7099.47491
134,5870.94258,7233.34857
135,5953.63888,7404.4929
136,6048.53331,7605.894
137,6154.75951,7829.22222
138,6289.4016,8069.23091
139,6442.77768,8318.32668
140,5724.44763,6894.52687
141,5737.93578,7086.50273
142,5729.76005,7052.45841
143,6481.33607,8392.20001
144,6322.10254,8158.17181
145,6192.48583,7937.66515
146,6078.20179,7729.06756
147,5980.9662,7541.11647
148,5884.86016,7376.29714
149,5828.12964,7248.08354
150,5774.37401,7152.87086
151,6628.80663,8364.91331
152,6490.12098,8128.64314
153,6361.88196,7898.99729
154,6252.00475,7685.31731
155,6147.58116,7495.94398
156,6039.21015,7331.21011
157,5919.95503,7198.92325
158,5831.31425,7108.28403
159,5760.85391,7061.45747
160,6770.89971,8607.23448
161,5867.0361,6726.94641
162,6382.91151,8325.09395
163,5906.59705,6859.26642
164,5884.93825,6897.63674
165,5872.19801,6976.29287
166,5884.94932,7093.40423
167,5907.6577,7241.83976
168,5948.96819,7421.55017
169,6012.90299,7627.15835
170,6113.81724,7852.09636
171,6235.68519,8085.44898
172,6028.7846,6986.88594
173,6087.88835,7115.07517
174,6119.82792,7275.054
175,6147.39756,7466.40926
176,6199.81325,7676.92999
177,6284.74456,7899.06694
178,6397.92651,8137.19312
179,6527.49428,8376.98802
180,5935.43921,6863.14334
181,5973.97313,6903.58193
182,5824.49805,6995.19376
183,6581.75302,8465.06311
184,6452.48663,8234.33854
185,6336.00725,8005.56546
186,6246.39116,7788.7491
187,6184.84551,7584.80851
188,6124.38213,7399.08742
189,6032.61862,7242.30352
190,5943.99322,7116.48913
191,6215.44321,8137.17308
192,6095.00893,7912.46055
193,6004.65834,7697.68059
194,5929.17079,7504.59012
195,5881.67086,7336.77929
196,5834.93038,7200.32425
197,5807.98594,7093.39126
198,5795.19669,7024.66921
199,5803.86531,6991.68825
200,6366.45194,8367.52851
201,5874.80211,7036.75066
202,6361.65321,8424.44349
203,5743.56791,7144.63344
204,5742.29783,7174.69131
205,5748.17202,7234.66072
206,5784.50389,7326.05762
207,5851.55462,7452.44591
208,5905.50005,7605.53715
209,5984.811,7783.5848
210,6083.30337,7985.77045
211,6208.98579,8200.64689
212,5897.80655,7277.50138
213,5992.67539,7394.07599
214,6111.43314,7547.99003
215,6210.77339,7722.04656
216,6282.78936,7914.46379
217,6380.55809,8122.864
218,6508.26037,8341.00476
219,6640.08229,8560.61117
220,5782.24236,7154.74311
221,5823.88719,7195.00099
222,5763.40173,7337.24501
223,6677.43711,8664.69516
224,6551.49943,8454.73783
225,6429.79467,8249.56595
226,6330.59663,8052.3274
227,6220.02002,7876.248
228,6114.44602,7715.98465
229,5985.02879,7573.58712
230,5885.45378,7463.59161
231,6218.59901,8277.04947
232,6090.06755,8074.11592
233,5989.42469,7887.61564
234,5902.05355,7726.30153
235,5833.17645,7587.4027
236,5760.28006,7471.94116
237,5727.89583,7395.18154
238,5720.6829,7346.13478
239,5729.02481,7326.148
240,6376.36257,8493.49319
241,6123.11105,6801.7642
242,6405.08181,8302.15223
243,6050.38542,6756.18094
244,5983.84849,6797.94365
245,5952.35228,6887.5304
246,5932.20676,7011.64799
247,5935.65608,7167.1451
248,5968.08623,7355.11326
249,6028.99939,7569.91461
250,6133.75787,7807.4705
251,6260.69933,8053.7723
252,6129.21996,6885.89813
253,6116.35288,7014.94375
254,6087.01225,7178.93675
255,6097.98467,7369.38066
256,6145.29366,7583.46632
257,6228.05973,7813.49943
258,6351.68187,8058.86453
259,6484.25666,8308.4089
260,6084.99186,6757.07795
261,6272.68693,6727.58804
262,6270.19639,6682.67412
263,6438.71024,8254.59818
264,6295.90308,7995.53748
265,6181.65629,7748.50126
266,6105.42597,7514.20881
267,6053.5675,7296.62079
268,6055.19376,7108.56661
269,6102.95962,6946.98366
270,6187.11021,6817.85699
271,6290.52538,8040.01246
272,6163.80627,7781.97221
273,6061.82606,7534.66336
274,5992.67153,7313.5205
275,5965.56567,7117.12729
276,5981.66417,6953.2125
277,6028.56895,6824.08664
278,6102.43499,6732.37743
279,6204.71376,6682.12537
280,6444.3269,8299.80511
281,6176.9404,6688.81345
282,6495.66189,8310.52342
283,6338.1512,6646.73712
284,6202.15805,6696.68967
285,6089.15518,6788.5741
286,6019.69551,6925.09614
287,5994.83208,7092.76813
288,6018.053,7295.47005
289,6091.82358,7529.47896
290,6205.7424,7783.42823
291,6339.24432,8047.6473
292,6123.78181,6775.89003
293,6056.89152,6906.22481
294,6012.66344,7066.29045
295,6012.76824,7252.74867
296,6066.15808,7472.94717
297,6147.80664,7710.29275
298,6272.8254,7958.96843
299,6413.27782,8218.80216
300,6239.1141,6646.76846
301,6009.0761,6689.5041
302,6045.14707,6651.3496
303,6403.41811,8213.16387
304,6263.77843,7953.9076
305,6139.95484,7700.94822
306,6042.11474,7460.47954
307,5977.5636,7238.8528
308,5974.05351,7055.44332
309,5993.22195,6899.02882
310,5998.79473,6773.66989
311,6389.17,8070.8592
312,6247.9177,7804.08517
313,6136.2528,7545.13999
314,6065.31992,7308.10248
315,6042.49807,7102.86863
316,6057.35511,6929.59095
317,6128.88061,6789.64417
318,6187.04571,6698.50901
319,6108.89754,6652.94204
320,6549.08776,8335.02419
321,5819.01778,7383.14164
322,5783.79539,7539.94845
323,6714.63515,8775.79035
324,6592.37652,8582.90313
325,6473.53571,8390.78083
326,6371.27987,8208.53737
327,6256.19326,8044.33187
328,6147.61565,7899.44327
329,6024.24515,7773.5009
330,5924.30253,7669.745
331,6241.73996,8372.92199
332,6126.40603,8185.07269
333,6015.32114,8014.78785
334,5926.32975,7866.00886
335,5853.01069,7742.12069
336,5783.8554,7642.07388
337,5744.52512,7575.13832
338,5741.33644,7539.42597
339,5749.85777,7524.20483
340,6388.01148,8575.04858
341,5849.26168,7588.95395
342,6423.8957,8675.14544
343,5823.80276,7745.269
344,5813.22609,7754.09767
345,5822.80044,7784.37134
346,5857.59033,7839.39453
347,5904.53758,7921.65602
348,5974.84141,8028.14498
349,6063.84797,8163.00041
350,6167.21015,8318.61072
351,6282.68995,8488.0042
352,6007.65431,7888.55324
353,6103.74643,7980.91565
354,6217.04275,8091.64799
355,6329.87181,8224.97093
356,6436.94477,8374.86159
357,6532.90193,8540.594
358,6653.88435,8717.08235
359,6765.8316,8895.53664
360,5868.10474,7766.2573
361,5930.69689,7816.37356
362,5981.438,8004.46056
363,6832.89366,9019.78534
364,6730.36334,8858.60205
365,6623.23239,8700.98994
366,6533.07548,8555.14637
367,6433.53781,8419.26622
368,6318.44255,8299.25537
369,6215.28566,8194.80852
370,6124.92915,8113.19477
371,6359.51159,8625.39562
372,6246.39259,8468.21194
373,6153.47226,8328.95839
374,6068.9911,8210.75855
375,6005.168,8119.24083
376,5965.47803,8052.26087
377,5940.77607,8006.64173
378,5926.69048,7980.66902
379,5945.07905,7981.13767
380,6495.8703,8793.29035
381,6045.79501,8049.48734
382,6188.35822,8283.06059
383,6126.90271,8241.7778
384,6907.11615,9146.90469
385,6827.10727,9005.82778
386,6736.33614,8869.12546
387,6650.48403,8737.34412
388,6555.81366,8617.86141
389,6444.99194,8508.37279
390,6348.98001,8418.67712
391,6262.00185,8341.70308
392,6469.56292,8779.13935
393,6362.43982,8637.01423
394,6279.80001,8515.50664
395,6210.28485,8413.62495
396,6148.98754,8331.78542
397,6111.09272,8274.13081
398,6083.27815,8237.09473
399,6076.12783,8217.74495
400,6088.9609,8217.93379
